Name,Final Energy,Band Gap,Valence band maximum,Conduction Band minimum,Direct BG,Hubbard U,Run Type
Bi2Se3_001,-122.98441164 eV,0.6993,-0.5568,-1.2561,False,{},GGA
Bi2Se3_010,-114.04895988 eV,0.1159,-0.3763,-0.4922,False,{},GGA
Bi2Se3_100,-114.18077106 eV,0.0121,-0.4508,-0.4629,False,{},GGA
Bi2Se3_111,-116.52079086 eV,1.3453,0.3983,-0.947,False,{},GGA
Bi2Te3_001,-112.19535847 eV,0.5135,0.4658,-0.0477,True,{},GGA
Bi2Te3_010,-104.26183346 eV,0.1089,0.4744,0.3655,False,{},GGA
Bi2Te3_100,-104.20171716 eV,0.07289999999999996,0.5618,0.4889,False,{},GGA
Bi2Te3_111,-105.03031104 eV,0.8307,1.0185,0.1878,False,{},GGA
Sb2Se3_001,-239.9395289 eV,0.7842,-0.5163,-1.3005,False,{},GGA
Sb2Se3_010,-238.83071558 eV,0.6756,-0.6065,-1.2821,False,{},GGA
Sb2Se3_100,-232.89278801 eV,0.6078999999999999,-0.6592,-1.2671,False,{},GGA
Sb2Se3_111,-231.5995819 eV,0.30510000000000015,-1.0614,-1.3665,False,{},GGA
Sb2Te3_001,-109.81645729 eV,0.2348,0.7451,0.5103,True,{},GGA
Sb2Te3_010,-103.86339684 eV,0.07919999999999994,0.6153,0.5361,False,{},GGA
Sb2Te3_100,-103.92769031 eV,0.0393,0.6649,0.6256,False,{},GGA
Sb2Te3_111,-104.53612018 eV,0.9311999999999999,1.1905,0.2593,False,{},GGA
