Formula,index,a,b,c,kpoints
Bi6Se9,111,   7.26177,  31.45524,  16.77034,7x2x3
Bi6Te9,111,   7.70916,  32.24631,  17.80354,7x2x3
Sb6Te9,111,   7.50090,  31.63512,  17.32258,7x2x3
Bi6Se9,100,   4.19258,  31.17458,  16.77034,12x2x3
Bi6Te9,100,   4.45088,  31.93766,  17.80354,12x2x3
Sb6Te9,100,   4.33065,  31.33730,  17.32258,12x2x3
Bi6Se9,010,   4.19258,  31.17458,  16.77034,12x2x3
Bi6Te9,010,   4.45088,  31.93766,  17.80354,12x2x3
Sb6Te9,010,   4.33065,  31.33730,  17.32258,12x2x3
Bi6Se9,001,   4.19258,   4.19258, 124.69831,12x12x1
Bi6Te9,001,   4.45088,   4.45088, 127.75064,12x12x1
Sb6Te9,001,   4.33065,   4.33065, 125.34921,12x12x1
Sb8Se12,111,  12.22472,  13.45423,  24.17111,5x4x3
Sb8Se12,111,  12.22472,  13.45423,  24.17111,5x4x3
Sb8Se12,100,  11.54188,  12.83696,  24.17111,5x4x3
Sb8Se12,010,   4.02852,  12.83696,  69.25126,13x4x1
Sb8Se12,010,   4.02852,  12.83696,  69.25126,13x4x1
Sb8Se12,001,   4.02852,  11.54188,  77.02173,13x5x1
Sb8Se12,001,   4.02852,  11.54188,  77.02173,13x5x1
